dataset,provider,model,model_version,prompt_language,plan_name,bfs_language_region,bfs_language_region_label,destinations_in_model_region,series_station_mention_count,expected_count,observed_count,expected_probability,observed_probability,delta_count,delta_probability,observed_expected_ratio,direction
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,EN,0206-google-gemini35flash-roundtrip-en-baseline,F,French,GENEVE,500,50.0,100,0.1,0.2,50.0,0.1,2.0,OVER
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,EN,0206-google-gemini35flash-roundtrip-en-baseline,I,Italian,LUGANO,500,50.0,0,0.1,0.0,-50.0,-0.1,0.0,UNDER
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,EN,0206-google-gemini35flash-roundtrip-en-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,FR,0205-google-gemini35flash-roundtrip-fr-baseline,D,German,GRINDELWALD|INTERLAKEN|LUCERNE|SCHAFFHAUSEN|ZERMATT|ZURICH,500,400.0,400,0.8,0.8,0.0,0.0,1.0,AS_EXPECTED
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,FR,0205-google-gemini35flash-roundtrip-fr-baseline,F,French,GENEVE,500,50.0,100,0.1,0.2,50.0,0.1,2.0,OVER
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,FR,0205-google-gemini35flash-roundtrip-fr-baseline,I,Italian,LUGANO,500,50.0,0,0.1,0.0,-50.0,-0.1,0.0,UNDER
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,FR,0205-google-gemini35flash-roundtrip-fr-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,IT,0204-google-gemini35flash-roundtrip-it-baseline,D,German,GRINDELWALD|INTERLAKEN|LUCERNE|SCHAFFHAUSEN|ZERMATT|ZURICH,500,400.0,400,0.8,0.8,0.0,0.0,1.0,AS_EXPECTED
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,IT,0204-google-gemini35flash-roundtrip-it-baseline,F,French,GENEVE,500,50.0,0,0.1,0.0,-50.0,-0.1,0.0,UNDER
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,IT,0204-google-gemini35flash-roundtrip-it-baseline,I,Italian,LUGANO,500,50.0,100,0.1,0.2,50.0,0.1,2.0,OVER
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,IT,0204-google-gemini35flash-roundtrip-it-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-05-13,gpt-4o-2024-05-13,DE,0000-openai-gpt4o-20240513-roundtrip-de-baseline,D,German,INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,400.0,400,0.8,0.8,0.0,0.0,1.0,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-05-13,gpt-4o-2024-05-13,DE,0000-openai-gpt4o-20240513-roundtrip-de-baseline,F,French,GENEVE,500,100.0,100,0.2,0.2,0.0,0.0,1.0,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-05-13,gpt-4o-2024-05-13,DE,0000-openai-gpt4o-20240513-roundtrip-de-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-05-13,gpt-4o-2024-05-13,DE,0000-openai-gpt4o-20240513-roundtrip-de-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-08-06,gpt-4o-2024-08-06,DE,0002-openai-gpt4o-20240806-roundtrip-de-baseline,D,German,INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,400.0,400,0.8,0.8,0.0,0.0,1.0,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-08-06,gpt-4o-2024-08-06,DE,0002-openai-gpt4o-20240806-roundtrip-de-baseline,F,French,GENEVE,500,100.0,100,0.2,0.2,0.0,0.0,1.0,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-08-06,gpt-4o-2024-08-06,DE,0002-openai-gpt4o-20240806-roundtrip-de-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-08-06,gpt-4o-2024-08-06,DE,0002-openai-gpt4o-20240806-roundtrip-de-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-11-20,gpt-4o-2024-11-20,DE,0003-openai-gpt4o-20241120-roundtrip-de-baseline,D,German,INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,400.0,400,0.8,0.8,0.0,0.0,1.0,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-11-20,gpt-4o-2024-11-20,DE,0003-openai-gpt4o-20241120-roundtrip-de-baseline,F,French,GENEVE,500,100.0,100,0.2,0.2,0.0,0.0,1.0,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-11-20,gpt-4o-2024-11-20,DE,0003-openai-gpt4o-20241120-roundtrip-de-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,OPENAI,gpt-4o-2024-11-20,gpt-4o-2024-11-20,DE,0003-openai-gpt4o-20241120-roundtrip-de-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,DE,0004-openai-gpt54mini-roundtrip-de-baseline,D,German,BERN|INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,370.75,400,0.7415,0.8,29.25,0.058499999999999996,1.078894133513149,OVER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,DE,0004-openai-gpt54mini-roundtrip-de-baseline,F,French,GENEVE|LAUSANNE,500,124.5,100,0.249,0.2,-24.5,-0.04899999999999999,0.8032128514056225,UNDER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,DE,0004-openai-gpt54mini-roundtrip-de-baseline,I,Italian,LUGANO,500,4.75,0,0.0095,0.0,-4.75,-0.0095,0.0,UNDER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,DE,0004-openai-gpt54mini-roundtrip-de-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,EN,0008-openai-gpt54mini-roundtrip-en-baseline,D,German,BERN|INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,370.75,400,0.7415,0.8,29.25,0.058499999999999996,1.078894133513149,OVER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,EN,0008-openai-gpt54mini-roundtrip-en-baseline,F,French,GENEVE|LAUSANNE,500,124.5,100,0.249,0.2,-24.5,-0.04899999999999999,0.8032128514056225,UNDER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,EN,0008-openai-gpt54mini-roundtrip-en-baseline,I,Italian,LUGANO,500,4.75,0,0.0095,0.0,-4.75,-0.0095,0.0,UNDER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,EN,0008-openai-gpt54mini-roundtrip-en-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,FR,0007-openai-gpt54mini-roundtrip-fr-baseline,D,German,BERN|INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,370.75,307,0.7415,0.614,-63.75,-0.12750000000000006,0.8280512474713418,UNDER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,FR,0007-openai-gpt54mini-roundtrip-fr-baseline,F,French,GENEVE|LAUSANNE,500,124.5,193,0.249,0.386,68.5,0.137,1.5502008032128514,OVER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,FR,0007-openai-gpt54mini-roundtrip-fr-baseline,I,Italian,LUGANO,500,4.75,0,0.0095,0.0,-4.75,-0.0095,0.0,UNDER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,FR,0007-openai-gpt54mini-roundtrip-fr-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,IT,0006-openai-gpt54mini-roundtrip-it-baseline,D,German,BERN|INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,370.75,376,0.7415,0.752,5.25,0.010499999999999954,1.01416048550236,OVER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,IT,0006-openai-gpt54mini-roundtrip-it-baseline,F,French,GENEVE|LAUSANNE,500,124.5,105,0.249,0.21,-19.5,-0.03900000000000001,0.8433734939759037,UNDER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,IT,0006-openai-gpt54mini-roundtrip-it-baseline,I,Italian,LUGANO,500,4.75,19,0.0095,0.038,14.25,0.028499999999999998,4.0,OVER
main_100_iterations,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,IT,0006-openai-gpt54mini-roundtrip-it-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,DE,0500-lmstudio-gptoss20b-roundtrip-de-reasoning-low-baseline,D,German,BASEL|INTERLAKEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,500,466.4451827242525,500,0.932890365448505,1.0,33.554817275747496,0.06710963455149499,1.0719373219373218,OVER
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,DE,0500-lmstudio-gptoss20b-roundtrip-de-reasoning-low-baseline,F,French,GENEVE|LAUSANNE,500,33.55481727574751,0,0.06710963455149502,0.0,-33.55481727574751,-0.06710963455149502,0.0,UNDER
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,DE,0500-lmstudio-gptoss20b-roundtrip-de-reasoning-low-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,DE,0500-lmstudio-gptoss20b-roundtrip-de-reasoning-low-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,EN,0504-lmstudio-gptoss20b-roundtrip-en-reasoning-low-baseline,D,German,BASEL|INTERLAKEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,5,4.664451827242525,4,0.932890365448505,0.8,-0.6644518272425248,-0.13289036544850497,0.8575498575498576,UNDER
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,EN,0504-lmstudio-gptoss20b-roundtrip-en-reasoning-low-baseline,F,French,GENEVE|LAUSANNE,5,0.3355481727574751,1,0.06710963455149502,0.2,0.6644518272425248,0.132890365448505,2.9801980198019797,OVER
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,EN,0504-lmstudio-gptoss20b-roundtrip-en-reasoning-low-baseline,I,Italian,,5,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,EN,0504-lmstudio-gptoss20b-roundtrip-en-reasoning-low-baseline,R,Romansh,,5,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,FR,0503-lmstudio-gptoss20b-roundtrip-fr-reasoning-low-baseline,D,German,BASEL|INTERLAKEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,500,466.4451827242525,400,0.932890365448505,0.8,-66.4451827242525,-0.13289036544850497,0.8575498575498576,UNDER
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,FR,0503-lmstudio-gptoss20b-roundtrip-fr-reasoning-low-baseline,F,French,GENEVE|LAUSANNE,500,33.55481727574751,100,0.06710963455149502,0.2,66.44518272425249,0.132890365448505,2.98019801980198,OVER
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,FR,0503-lmstudio-gptoss20b-roundtrip-fr-reasoning-low-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,FR,0503-lmstudio-gptoss20b-roundtrip-fr-reasoning-low-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,IT,0502-lmstudio-gptoss20b-roundtrip-it-reasoning-low-baseline,D,German,BASEL|INTERLAKEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,500,466.4451827242525,500,0.932890365448505,1.0,33.554817275747496,0.06710963455149499,1.0719373219373218,OVER
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,IT,0502-lmstudio-gptoss20b-roundtrip-it-reasoning-low-baseline,F,French,GENEVE|LAUSANNE,500,33.55481727574751,0,0.06710963455149502,0.0,-33.55481727574751,-0.06710963455149502,0.0,UNDER
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,IT,0502-lmstudio-gptoss20b-roundtrip-it-reasoning-low-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,openai/gpt-oss-20b,,IT,0502-lmstudio-gptoss20b-roundtrip-it-reasoning-low-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,DE,0400-lmstudio-qwen35-9b-roundtrip-de-baseline,D,German,BASEL|GRINDELWALD|INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,375.0,400,0.75,0.8,25.0,0.050000000000000044,1.0666666666666667,OVER
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,DE,0400-lmstudio-qwen35-9b-roundtrip-de-baseline,F,French,GENEVE|MONTREUX,500,125.0,100,0.25,0.2,-25.0,-0.04999999999999999,0.8,UNDER
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,DE,0400-lmstudio-qwen35-9b-roundtrip-de-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,DE,0400-lmstudio-qwen35-9b-roundtrip-de-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,EN,0405-lmstudio-qwen35-9b-roundtrip-en-baseline,D,German,BASEL|GRINDELWALD|INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,375.0,400,0.75,0.8,25.0,0.050000000000000044,1.0666666666666667,OVER
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,EN,0405-lmstudio-qwen35-9b-roundtrip-en-baseline,F,French,GENEVE|MONTREUX,500,125.0,100,0.25,0.2,-25.0,-0.04999999999999999,0.8,UNDER
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,EN,0405-lmstudio-qwen35-9b-roundtrip-en-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,EN,0405-lmstudio-qwen35-9b-roundtrip-en-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,FR,0404-lmstudio-qwen35-9b-roundtrip-fr-baseline,D,German,BASEL|GRINDELWALD|INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,375.0,300,0.75,0.6,-75.0,-0.15000000000000002,0.8,UNDER
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,FR,0404-lmstudio-qwen35-9b-roundtrip-fr-baseline,F,French,GENEVE|MONTREUX,500,125.0,200,0.25,0.4,75.0,0.15000000000000002,1.6,OVER
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,FR,0404-lmstudio-qwen35-9b-roundtrip-fr-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,FR,0404-lmstudio-qwen35-9b-roundtrip-fr-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,IT,0403-lmstudio-qwen35-9b-roundtrip-it-baseline,D,German,BASEL|GRINDELWALD|INTERLAKEN|LUCERNE|ZERMATT|ZURICH,500,375.0,400,0.75,0.8,25.0,0.050000000000000044,1.0666666666666667,OVER
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,IT,0403-lmstudio-qwen35-9b-roundtrip-it-baseline,F,French,GENEVE|MONTREUX,500,125.0,100,0.25,0.2,-25.0,-0.04999999999999999,0.8,UNDER
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,IT,0403-lmstudio-qwen35-9b-roundtrip-it-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,qwen/qwen3.5-9b,,IT,0403-lmstudio-qwen35-9b-roundtrip-it-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,DE,0300-lmstudio-apertus-roundtrip-de-baseline,D,German,BASEL|BERN|INTERLAKEN|LAUTERBRUNNEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,500,400.0,500,0.8,1.0,100.0,0.19999999999999996,1.25,OVER
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,DE,0300-lmstudio-apertus-roundtrip-de-baseline,F,French,GENEVE|LAUSANNE,500,100.00000000000001,0,0.20000000000000004,0.0,-100.00000000000001,-0.20000000000000004,0.0,UNDER
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,DE,0300-lmstudio-apertus-roundtrip-de-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,DE,0300-lmstudio-apertus-roundtrip-de-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,EN,0304-lmstudio-apertus-roundtrip-en-baseline,D,German,BASEL|BERN|INTERLAKEN|LAUTERBRUNNEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,0,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,EN,0304-lmstudio-apertus-roundtrip-en-baseline,F,French,GENEVE|LAUSANNE,0,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,EN,0304-lmstudio-apertus-roundtrip-en-baseline,I,Italian,,0,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,EN,0304-lmstudio-apertus-roundtrip-en-baseline,R,Romansh,,0,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,FR,0303-lmstudio-apertus-roundtrip-fr-baseline,D,German,BASEL|BERN|INTERLAKEN|LAUTERBRUNNEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,500,400.0,300,0.8,0.6,-100.0,-0.20000000000000007,0.75,UNDER
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,FR,0303-lmstudio-apertus-roundtrip-fr-baseline,F,French,GENEVE|LAUSANNE,500,100.00000000000001,200,0.20000000000000004,0.4,99.99999999999999,0.19999999999999998,1.9999999999999998,OVER
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,FR,0303-lmstudio-apertus-roundtrip-fr-baseline,I,Italian,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,FR,0303-lmstudio-apertus-roundtrip-fr-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,IT,0302-lmstudio-apertus-roundtrip-it-baseline,D,German,BASEL|BERN|INTERLAKEN|LAUTERBRUNNEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,500,400.0,400,0.8,0.8,0.0,0.0,1.0,AS_EXPECTED
main_100_iterations,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,IT,0302-lmstudio-apertus-roundtrip-it-baseline,F,French,GENEVE|LAUSANNE,500,100.00000000000001,100,0.20000000000000004,0.2,-1.4210854715202004E-14,-2.7755575615628914E-17,0.9999999999999999,AS_EXPECTED
