series_id,provider,model,model_family,model_family_id,archetype,archetype_id,prompt_language,setting,n_requested,n_success,literal_unique_count,literal_unique_share,semantic_valid_rate,plot_literal_unique_count,plot_semantic_valid_rate
0502-lmstudio-gptoss20b-roundtrip-it-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,7,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,IT,baseline,100,100,2,0.02,1.0,3.05,1.0315
0503-lmstudio-gptoss20b-roundtrip-fr-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,7,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,FR,baseline,100,100,2,0.02,1.0,3.365,1.0430000000000001
0504-lmstudio-gptoss20b-roundtrip-en-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,7,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,EN,baseline,100,100,2,0.02,0.01,1.72,-0.025500000000000002
0505-lmstudio-gptoss20b-factual-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,7,FACTUAL_CRITICAL_BERN_ZURICH_CONNECTION,2,DE,baseline,100,100,1,0.01,1.0,1.115,0.9820000000000002
0506-lmstudio-gptoss20b-literal-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,7,LITERAL_FORMAT_CRITICAL_TRAVELER_GUIDANCE,3,DE,baseline,100,100,1,0.01,0.0,1.125,-5.000000000000004E-4
0507-lmstudio-gptoss20b-creative-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,7,CREATIVE_GENERATIVE_LUCERNE_MARKETING,4,DE,baseline,100,100,2,0.02,1.0,2.52,0.9975
0508-lmstudio-gptoss20b-roundtrip-de-reasoning-medium-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,7,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,2,0.02,0.99,2.5949999999999998,0.981
0509-lmstudio-gptoss20b-roundtrip-de-reasoning-high-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,7,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,2,0.02,0.01,2.91,0.0125
0400-lmstudio-qwen35-9b-roundtrip-de-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,6,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,1,0.01,1.0,0.6449999999999998,1.0019999999999998
0403-lmstudio-qwen35-9b-roundtrip-it-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,6,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,IT,baseline,100,100,1,0.01,1.0,1.5899999999999999,1.017
0404-lmstudio-qwen35-9b-roundtrip-fr-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,6,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,FR,baseline,100,100,1,0.01,1.0,1.9049999999999998,1.0285
0405-lmstudio-qwen35-9b-roundtrip-en-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,6,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,EN,baseline,100,100,1,0.01,1.0,2.2199999999999998,0.9499999999999998
0406-lmstudio-qwen35-9b-factual-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,6,FACTUAL_CRITICAL_BERN_ZURICH_CONNECTION,2,DE,baseline,100,100,1,0.01,1.0,0.6549999999999998,0.9675
0407-lmstudio-qwen35-9b-literal-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,6,LITERAL_FORMAT_CRITICAL_TRAVELER_GUIDANCE,3,DE,baseline,100,100,1,0.01,0.0,0.6649999999999998,-0.015
0408-lmstudio-qwen35-9b-creative-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,6,CREATIVE_GENERATIVE_LUCERNE_MARKETING,4,DE,baseline,100,100,1,0.01,1.0,1.0599999999999998,1.0024999999999997
0300-lmstudio-apertus-roundtrip-de-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,5,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,2,0.02,1.0,2.83,0.976
0302-lmstudio-apertus-roundtrip-it-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,5,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,IT,baseline,100,100,2,0.02,1.0,1.5,0.999
0303-lmstudio-apertus-roundtrip-fr-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,5,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,FR,baseline,100,100,2,0.02,1.0,1.8150000000000002,1.0105
0304-lmstudio-apertus-roundtrip-en-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,5,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,EN,baseline,100,100,2,0.02,0.0,2.13,0.022
0305-lmstudio-apertus-factual-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,5,FACTUAL_CRITICAL_BERN_ZURICH_CONNECTION,2,DE,baseline,100,100,1,0.01,0.0,1.525,0.0395
0306-lmstudio-apertus-literal-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,5,LITERAL_FORMAT_CRITICAL_TRAVELER_GUIDANCE,3,DE,baseline,100,100,1,0.01,0.0,1.92,-0.033
0307-lmstudio-apertus-creative-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,5,CREATIVE_GENERATIVE_LUCERNE_MARKETING,4,DE,baseline,100,100,2,0.02,1.0,3.3150000000000004,0.9844999999999997
