model,route_key,route_stations,mention_count,model_route_count,share_of_model_routes,contributing_series_count
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|MONTREUX|ZERMATT,ZURICH|LUCERNE|INTERLAKEN|MONTREUX|ZERMATT,4,775,0.005161290322580645,8
gpt-5.4-mini-2026-03-17,BASEL|LUCERNE|INTERLAKEN|ZERMATT|LAUSANNE,BASEL|LUCERNE|INTERLAKEN|ZERMATT|LAUSANNE,2,775,0.0025806451612903226,8
gpt-5.4-mini-2026-03-17,GENEVE|MONTREUX|INTERLAKEN|LUCERNE|ZURICH,GENEVE|MONTREUX|INTERLAKEN|LUCERNE|ZURICH,2,775,0.0025806451612903226,8
gpt-5.4-mini-2026-03-17,BASEL|LUCERNE|INTERLAKEN|MONTREUX|LUGANO,BASEL|LUCERNE|INTERLAKEN|MONTREUX|LUGANO,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,BASEL|LUCERNE|INTERLAKEN|ZERMATT|GENEVE,BASEL|LUCERNE|INTERLAKEN|ZERMATT|GENEVE,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,BASEL|LUCERNE|INTERLAKEN|ZERMATT|LUGANO,BASEL|LUCERNE|INTERLAKEN|ZERMATT|LUGANO,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,GENEVE|BERN|LUCERNE|INTERLAKEN|ZURICH,GENEVE|BERN|LUCERNE|INTERLAKEN|ZURICH,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,GENEVE|LAUSANNE|INTERLAKEN|LUCERNE|ZURICH,GENEVE|LAUSANNE|INTERLAKEN|LUCERNE|ZURICH,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,GENEVE|MONTREUX|ZERMATT|INTERLAKEN|LUCERNE,GENEVE|MONTREUX|ZERMATT|INTERLAKEN|LUCERNE,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|BERN|INTERLAKEN|ZERMATT,ZURICH|LUCERNE|BERN|INTERLAKEN|ZERMATT,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|BERN|LAUSANNE|LUGANO,ZURICH|LUCERNE|BERN|LAUSANNE|LUGANO,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|BERN|MONTREUX|GENEVE,ZURICH|LUCERNE|BERN|MONTREUX|GENEVE,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|BERN|LAUSANNE,ZURICH|LUCERNE|INTERLAKEN|BERN|LAUSANNE,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|LAUSANNE|ZERMATT,ZURICH|LUCERNE|INTERLAKEN|LAUSANNE|ZERMATT,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|LUGANO|LAUSANNE,ZURICH|LUCERNE|INTERLAKEN|LUGANO|LAUSANNE,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|LUGANO|ZERMATT,ZURICH|LUCERNE|INTERLAKEN|LUGANO|ZERMATT,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|MONTREUX|LAUSANNE,ZURICH|LUCERNE|INTERLAKEN|MONTREUX|LAUSANNE,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|MONTREUX|ZURICH,ZURICH|LUCERNE|INTERLAKEN|MONTREUX|ZURICH,1,775,0.0012903225806451613,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|ZURICH,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|ZURICH,1,775,0.0012903225806451613,8
openai/gpt-oss-20b,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|BASEL,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|BASEL,200,501,0.3992015968063872,7
openai/gpt-oss-20b,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|LAUSANNE,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|LAUSANNE,100,501,0.1996007984031936,7
openai/gpt-oss-20b,ZERMATT|INTERLAKEN|LUCERNE|ZURICH|BASEL,ZERMATT|INTERLAKEN|LUCERNE|ZURICH|BASEL,99,501,0.19760479041916168,7
openai/gpt-oss-20b,ZURICH|LUCERNE|INTERLAKEN|BERN|GENEVE,ZURICH|LUCERNE|INTERLAKEN|BERN|GENEVE,99,501,0.19760479041916168,7
openai/gpt-oss-20b,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|GENEVE,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|GENEVE,2,501,0.003992015968063872,7
openai/gpt-oss-20b,ZERMATT|INTERLAKEN|LUCERNE|ZURICH|ST_MORITZ,ZERMATT|INTERLAKEN|LUCERNE|ZURICH|ST_MORITZ,1,501,0.001996007984031936,7
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|LUCERNE|ZERMATT|GENEVE,ZURICH|INTERLAKEN|LUCERNE|ZERMATT|GENEVE,155,500,0.31,6
qwen/qwen3.5-9b,ZERMATT|LUCERNE|INTERLAKEN|GENEVE|MONTREUX,ZERMATT|LUCERNE|INTERLAKEN|GENEVE|MONTREUX,100,500,0.2,6
qwen/qwen3.5-9b,ZERMATT|LUCERNE|INTERLAKEN|GRINDELWALD|GENEVE,ZERMATT|LUCERNE|INTERLAKEN|GRINDELWALD|GENEVE,100,500,0.2,6
qwen/qwen3.5-9b,ZURICH|LUCERNE|INTERLAKEN|GENEVE|BASEL,ZURICH|LUCERNE|INTERLAKEN|GENEVE|BASEL,100,500,0.2,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|LUCERNE|ZERMATT|BASEL,ZURICH|INTERLAKEN|LUCERNE|ZERMATT|BASEL,22,500,0.044,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|ZERMATT|LUCERNE|BASEL,ZURICH|INTERLAKEN|ZERMATT|LUCERNE|BASEL,9,500,0.018,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|LUCERNE|GENEVE|BERN,ZURICH|INTERLAKEN|LUCERNE|GENEVE|BERN,4,500,0.008,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|GRINDELWALD|LUCERNE|GENEVE,ZURICH|INTERLAKEN|GRINDELWALD|LUCERNE|GENEVE,2,500,0.004,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|GRINDELWALD|LUCERNE|BASEL,ZURICH|INTERLAKEN|GRINDELWALD|LUCERNE|BASEL,1,500,0.002,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|LUCERNE|BASEL|GENEVE,ZURICH|INTERLAKEN|LUCERNE|BASEL|GENEVE,1,500,0.002,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|LUCERNE|CHUR|GENEVE,ZURICH|INTERLAKEN|LUCERNE|CHUR|GENEVE,1,500,0.002,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|LUCERNE|GENEVE|ZERMATT,ZURICH|INTERLAKEN|LUCERNE|GENEVE|ZERMATT,1,500,0.002,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|LUCERNE|GRINDELWALD|GENEVE,ZURICH|INTERLAKEN|LUCERNE|GRINDELWALD|GENEVE,1,500,0.002,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|LUCERNE|ST_MORITZ|BASEL,ZURICH|INTERLAKEN|LUCERNE|ST_MORITZ|BASEL,1,500,0.002,6
qwen/qwen3.5-9b,ZURICH|INTERLAKEN|ZERMATT|LUCERNE|GENEVE,ZURICH|INTERLAKEN|ZERMATT|LUCERNE|GENEVE,1,500,0.002,6
qwen/qwen3.5-9b,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|BASEL,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|BASEL,1,500,0.002,6
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZURICH|ST_MORITZ|LAUTERBRUNNEN,BERN|LUCERNE|ZURICH|ST_MORITZ|LAUTERBRUNNEN,107,397,0.2695214105793451,5
swiss-ai_apertus-8b-instruct-2509,GENEVE|LAUSANNE|ZERMATT|LUCERNE|BASEL,GENEVE|LAUSANNE|ZERMATT|LUCERNE|BASEL,100,397,0.2518891687657431,5
swiss-ai_apertus-8b-instruct-2509,ZERMATT|LAUSANNE|BERN|LUCERNE|ST_MORITZ,ZERMATT|LAUSANNE|BERN|LUCERNE|ST_MORITZ,100,397,0.2518891687657431,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZURICH|INTERLAKEN|ST_MORITZ,BERN|LUCERNE|ZURICH|INTERLAKEN|ST_MORITZ,27,397,0.06801007556675064,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZURICH|INTERLAKEN|GENEVE,BERN|LUCERNE|ZURICH|INTERLAKEN|GENEVE,16,397,0.04030226700251889,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZURICH|CHUR|ST_MORITZ,BERN|LUCERNE|ZURICH|CHUR|ST_MORITZ,9,397,0.022670025188916875,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZERMATT|ST_MORITZ|LAUTERBRUNNEN,BERN|LUCERNE|ZERMATT|ST_MORITZ|LAUTERBRUNNEN,5,397,0.012594458438287154,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZURICH|ST_MORITZ|GENEVE,BERN|LUCERNE|ZURICH|ST_MORITZ|GENEVE,5,397,0.012594458438287154,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZURICH|ST_MORITZ|INTERLAKEN,BERN|LUCERNE|ZURICH|ST_MORITZ|INTERLAKEN,4,397,0.010075566750629723,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZERMATT|CHUR|LAUTERBRUNNEN,BERN|LUCERNE|ZERMATT|CHUR|LAUTERBRUNNEN,3,397,0.007556675062972292,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZERMATT|CHUR|ST_MORITZ,BERN|LUCERNE|ZERMATT|CHUR|ST_MORITZ,3,397,0.007556675062972292,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZERMATT|INTERLAKEN|GENEVE,BERN|LUCERNE|ZERMATT|INTERLAKEN|GENEVE,3,397,0.007556675062972292,5
swiss-ai_apertus-8b-instruct-2509,BERN|LAUTERBRUNNEN|ZURICH|LUCERNE|ST_MORITZ,BERN|LAUTERBRUNNEN|ZURICH|LUCERNE|ST_MORITZ,2,397,0.005037783375314861,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZERMATT|LAUTERBRUNNEN|CHUR,BERN|LUCERNE|ZERMATT|LAUTERBRUNNEN|CHUR,2,397,0.005037783375314861,5
swiss-ai_apertus-8b-instruct-2509,BERN|LAUTERBRUNNEN|CHUR|LUCERNE|ZURICH,BERN|LAUTERBRUNNEN|CHUR|LUCERNE|ZURICH,1,397,0.0025188916876574307,5
swiss-ai_apertus-8b-instruct-2509,BERN|LAUTERBRUNNEN|ZURICH|GENEVE|LUCERNE,BERN|LAUTERBRUNNEN|ZURICH|GENEVE|LUCERNE,1,397,0.0025188916876574307,5
swiss-ai_apertus-8b-instruct-2509,BERN|LAUTERBRUNNEN|ZURICH|ST_MORITZ|LUCERNE,BERN|LAUTERBRUNNEN|ZURICH|ST_MORITZ|LUCERNE,1,397,0.0025188916876574307,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZERMATT|CHUR|INTERLAKEN,BERN|LUCERNE|ZERMATT|CHUR|INTERLAKEN,1,397,0.0025188916876574307,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZERMATT|GENEVE|CHUR,BERN|LUCERNE|ZERMATT|GENEVE|CHUR,1,397,0.0025188916876574307,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZERMATT|INTERLAKEN|ST_MORITZ,BERN|LUCERNE|ZERMATT|INTERLAKEN|ST_MORITZ,1,397,0.0025188916876574307,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZERMATT|LAUTERBRUNNEN|GENEVE,BERN|LUCERNE|ZERMATT|LAUTERBRUNNEN|GENEVE,1,397,0.0025188916876574307,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZERMATT|LAUTERBRUNNEN|ST_MORITZ,BERN|LUCERNE|ZERMATT|LAUTERBRUNNEN|ST_MORITZ,1,397,0.0025188916876574307,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZURICH|CHUR|INTERLAKEN,BERN|LUCERNE|ZURICH|CHUR|INTERLAKEN,1,397,0.0025188916876574307,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZURICH|INTERLAKEN|CHUR,BERN|LUCERNE|ZURICH|INTERLAKEN|CHUR,1,397,0.0025188916876574307,5
swiss-ai_apertus-8b-instruct-2509,BERN|LUCERNE|ZURICH|ST_MORITZ|CHUR,BERN|LUCERNE|ZURICH|ST_MORITZ|CHUR,1,397,0.0025188916876574307,5
